firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
Özyavuz Sebze Meyve,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve UND/ihracatçı kaydı eşleşmesi,yukselyavuz@ozyavuz.com.tr,+90 242 338 01 52-53,https://www.ozyavuz.com.tr,https://www.ozyavuz.com.tr
Polat Sebze Meyve,Firma,Narenciye ve taze meyve-sebze ihracatı,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,bekir@polatnarenciye.com;info@polatnarenciye.com,+90 324 646 4100,https://polatnarenciye.com.tr,https://polatnarenciye.com.tr/iletisim.html
Smyrna Seracılık Ticaret A.Ş.,Firma,Seracılık ve domates üretimi,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,smyrna@akcaholding.com,+90 530 546 20 55; +90 530 546 20 99,https://www.smyrnasera.com.tr,https://www.smyrnasera.com.tr/tr/iletisim
Soom Gıda İnşaat İç ve Dış Ticaret,Firma,Taze meyve-sebze ve tarım ürünleri,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,info@soom.com.tr,+90 538 774 75 35; +90 505 652 42 95,https://soom.tr,https://soom.tr/iletisim
Soylu Gıda,Firma,Narenciye ve taze meyve-sebze ihracatı,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,info@soylugida.com.tr;export@soylugida.com.tr,+90 324 646 46 04,https://www.soylugida.com.tr,https://www.soylugida.com.tr/iletisim.php
Sultar Tarım Ürünleri Değerlendirme Sanayi ve Ticaret,Firma,İncir ve tarım ürünleri ihracatı,Rusya listesi ve firma rehberi eşleşmesi,info@sultar.com.tr,+90 533 746 71 70,https://sultar.com.tr,https://www.tarimziraat.com/tarimsal_firma_rehberi/organik_tarim_firmalari/a6930-sultar_tarim_urunleri_deg_san_ve_tic_ltd_sti.html
Müsna Tarım Ürünleri (Süleyman Müsna),Firma,Taze meyve-sebze ihracatı,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,info@musnatarim.com.tr,+90 533 296 54 24,https://musnatarim.com.tr,https://musnatarim.com.tr/
Taneks Tarım Ürünleri,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,taneks@taneks.com.tr,+90 322 456 1207; +90 322 456 1209,https://www.taneks.com.tr,https://www.taneks.com.tr/index.html
Teksin Tarım Gıda,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve resmi firma sitesi eşleşmesi,info@teksintarim.com,+90 326 285 61 77,https://www.teksintarim.com,https://www.teksintarim.com/
Topal Narenciye,Firma,Narenciye ve taze meyve-sebze ihracatı,Rusya ve Ukrayna ihracat kaydı ve resmi firma sitesi eşleşmesi,info@topalnarenciye.com.tr,+90 324 521 37 99,https://www.topalnarenciye.com.tr,https://www.topalnarenciye.com.tr
Turaz Gıda,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve resmi firma sitesi eşleşmesi,info@turazgida.com,+90 242 339 51 54,https://www.turazgida.com,https://www.turazgida.com/
Tümen Tarım,Firma,Taze meyve-sebze üretimi, paketleme ve ihracat,Rusya listesi ve resmi firma sitesi eşleşmesi,info@tumentarim.com;kerem@tumen-tarim.com,+90 324 454 00 88,https://tumentarim.com,https://tumentarim.com/en/how-can-we-help
Üregen Tarım,Firma,Taze meyve-sebze ve narenciye ihracatı,Rusya ve Ukrayna dahil uluslararası ihracat,uregen@uregentarim.com.tr,+90 532 599 17 14,https://uregentarim.com.tr,https://uregentarim.com.tr/
Ünal Ambalaj,Firma,Meyve-sebze ambalajı ve gıda ambalajı,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,bilgi@unalpak.com,+90 531 655 50 85,https://www.unalambalaj.com,https://www.unalambalaj.com/iletisim
Yalıcan Gıda Tarım Ürünleri,Firma,Taze meyve-sebze ihracatı,Rusya listesi ve resmi firma sitesi eşleşmesi,info@yalicangida.com,+90 530 225 70 17,https://yalicangida.com,https://yalicangida.com/
Vitaltek Gıda,Firma,Gıda teknolojileri ve yeşil sebze ürünleri,Rusya listesi ve firma rehberi eşleşmesi,murat@vitaltek.com.tr,+90 532 285 49 47,http://www.vitaltek.com.tr,https://www.firmaekle.com/Default.aspx?act=firmDetails&FirmId=4449
Yılkar Yaş Sebze ve Meyve,Firma,Taze meyve-sebze ve narenciye ihracatı,Rusya listesi ve resmi firma iletişim sayfası eşleşmesi,yilkar@yilkar.com.tr,+90 322 359 34 40,https://yilkar.com.tr,https://yilkar.com.tr/iletisim/
Semt Tarım Ürünleri,Firma,Taze meyve-sebze üretimi, paketleme ve ihracat,Rusya listesi ve resmi firma sitesi eşleşmesi,info@semttarim.com,+90 328 826 82 20,https://semttarim.com,https://semttarim.com/
